ZIPCODE,ADDRESS,STATUS
46218,3741 N SHERMAN DR,Vacant
46221,1514 S REISNER ST,Vacant
46221,1501 S REISNER ST,Abandoned
46203,1721 THADDEUS ST,Abandoned
46205,342 E 30TH ST,Vacant
46201,947 N BRADLEY AVE,Abandoned
46208,722 W 25TH ST,Abandoned
46203,1145 LAUREL ST,Abandoned
46203,1133 LAUREL ST,Abandoned
46201,338 N BRADLEY AVE,Abandoned
46203,1622 PALMER ST,Abandoned
46225,938 S SENATE AVE,Abandoned
46226,5035 E 39TH ST,Abandoned
46202,219 DICKSON ST,Vacant
46201,5028 ENGLISH AVE,Abandoned
46208,2813 RADER ST,Abandoned
46208,2605 RADER ST,Abandoned
46225,334 LINCOLN ST,Abandoned
46203,1538 LAWTON AVE,Vacant
